Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Quantity,Segment,Country,City,State,Discount,Profit,Product ID,Category,Sub-Category,Product Name,Sales
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,3,Consumer,United States,Dover,Delaware,0,4.95,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,2,Consumer,United States,Dover,Delaware,0,6.104,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,6,Consumer,United States,New Albany,Indiana,0,17.9634,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,6,Consumer,United States,New Albany,Indiana,0,35.3346,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,2,Consumer,United States,New Albany,Indiana,0,2.9568,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,1,Consumer,United States,New Albany,Indiana,0,17.0981,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
54,CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,7,Corporate,United States,New York City,New York,0,6.2566,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26
55,CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,5,Corporate,United States,New York City,New York,0,298.6855,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,6,Consumer,United States,Troy,New York,0,52.14,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,5,Consumer,United States,Troy,New York,0,15.552,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,5,Consumer,United States,Troy,New York,0.1,7.098,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,2,Consumer,United States,Troy,New York,0,6.9888,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,2,Consumer,United States,Troy,New York,0,3.3,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,4,Consumer,United States,Troy,New York,0.2,16.362,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,1,Consumer,United States,Troy,New York,0,0.84,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,2,Consumer,United States,Los Angeles,California,0,6.1512,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,6,Consumer,United States,Los Angeles,California,0.2,9.3612,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,3,Consumer,United States,Los Angeles,California,0,68.9631,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,4,Consumer,United States,Los Angeles,California,0,22.3328,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
67,US-2015-164175,4/30/2015,05-05-2015,Standard Class,PS-18970,5,Home Office,United States,Chicago,Illinois,0.3,-15.2225,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
68,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,8,Corporate,United States,Gilbert,Arizona,0.2,111.3024,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,4,Corporate,United States,Gilbert,Arizona,0.2,62.988,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
70,CA-2016-119823,06-04-2016,06-06-2016,First Class,KD-16270,2,Consumer,United States,Springfield,Virginia,0,35.6636,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,1,Consumer,United States,New York City,New York,0.2,1.731,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,3,Consumer,United States,Jackson,Michigan,0,8.763,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
73,US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,8,Consumer,United States,Memphis,Tennessee,0.2,-114.3912,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
74,US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,2,Consumer,United States,Memphis,Tennessee,0.2,1.213,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
75,US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,1,Consumer,United States,Memphis,Tennessee,0.2,-18.196,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
76,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,3,Corporate,United States,Houston,Texas,0.8,-1.9344,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248
77,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,3,Corporate,United States,Houston,Texas,0.6,-5.8248,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
78,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,3,Corporate,United States,Houston,Texas,0.2,2.724,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
79,US-2014-147606,11/26/2014,12-01-2014,Second Class,JE-15745,5,Consumer,United States,Houston,Texas,0.6,-14.475,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
80,CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770,1,Corporate,United States,Decatur,Alabama,0,56.2032,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
81,CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770,3,Corporate,United States,Decatur,Alabama,0,8.0352,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
82,CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,5,Consumer,United States,San Francisco,California,0,4.172,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
83,CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,1,Consumer,United States,San Francisco,California,0,6.2031,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
84,CA-2015-149734,09-03-2015,09-08-2015,Standard Class,JC-16105,7,Corporate,United States,Durham,North Carolina,0.2,62.8075,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,3,Home Office,United States,Chicago,Illinois,0.2,-48.9549,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,2,Consumer,United States,Columbia,South Carolina,0,33.2156,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
87,CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,1,Consumer,United States,Rochester,Minnesota,0,6.7966,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
88,CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,2,Consumer,United States,Rochester,Minnesota,0,2.9568,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16
89,CA-2016-159695,04-05-2016,04-10-2016,Second Class,GM-14455,7,Home Office,United States,Houston,Texas,0.2,13.8572,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,3,Corporate,United States,Los Angeles,California,0,6.633,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,2,Corporate,United States,Los Angeles,California,0.2,8.2782,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,1,Corporate,United States,Los Angeles,California,0,3.1104,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48
93,CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,2,Consumer,United States,Minneapolis,Minnesota,0,6.2208,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96
94,CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,3,Consumer,United States,Minneapolis,Minnesota,0,16.5354,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
95,CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,2,Consumer,United States,Minneapolis,Minnesota,0,16.1504,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
96,US-2017-109484,11-06-2017,11-12-2017,Standard Class,RB-19705,1,Home Office,United States,Portland,Oregon,0.7,-3.788,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,CA-2017-161018,11-09-2017,11-11-2017,Second Class,PN-18775,7,Home Office,United States,New York City,New York,0,40.5426,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,3,Consumer,United States,San Francisco,California,0.2,17.9592,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
99,CA-2016-149223,09-06-2016,09-11-2016,Standard Class,ER-13855,6,Corporate,United States,Saint Paul,Minnesota,0,22.5852,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
100,CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,7,Home Office,United States,Chicago,Illinois,0.2,22.6184,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
101,CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,3,Home Office,United States,Chicago,Illinois,0.2,-10.7973,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
102,CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,3,Home Office,United States,Chicago,Illinois,0.8,-3.0396,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
103,CA-2016-129903,12-01-2016,12-04-2016,Second Class,GZ-14470,4,Consumer,United States,Rochester,Minnesota,0,11.7208,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,6,Consumer,United States,Aurora,Colorado,0.2,-26.8758,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,3,Consumer,United States,Aurora,Colorado,0.2,-3.8385,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,3,Consumer,United States,Aurora,Colorado,0.7,-25.8174,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,8,Consumer,United States,Charlotte,North Carolina,0.2,17.6016,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,1,Consumer,United States,Charlotte,North Carolina,0.2,2.0994,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,1,Consumer,United States,Charlotte,North Carolina,0.2,1.0738,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,5,Home Office,United States,Orland Park,Illinois,0.2,67.992,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,2,Corporate,United States,New York City,New York,0,10.9096,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
112,CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,2,Consumer,United States,Urbandale,Iowa,0,22.788,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
113,CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,6,Consumer,United States,Urbandale,Iowa,0,13.3476,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,14,Consumer,United States,Columbus,Ohio,0.2,14.5348,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,2,Consumer,United States,Columbus,Ohio,0.2,1.652,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,3,Consumer,United States,Columbus,Ohio,0.2,7.4925,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,6,Consumer,United States,Columbus,Ohio,0.2,44.0316,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
118,CA-2015-110457,03-02-2015,03-06-2015,Standard Class,DK-13090,3,Consumer,United States,Seattle,Washington,0,165.3813,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
119,US-2015-136476,04-05-2015,04-10-2015,Standard Class,GG-14650,1,Corporate,United States,Bristol,Tennessee,0.7,-115.7156,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
120,CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,3,Consumer,United States,Wilmington,Delaware,0,18.3456,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04
121,CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,4,Consumer,United States,Wilmington,Delaware,0,13.878,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
122,CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,6,Consumer,United States,Wilmington,Delaware,0,63.4368,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
